"//","Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,
"//","You can safely insert commas or double quotes into data fields.",,,,,,,,,,,,,
"//","EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,
"//","When editing with OO.org Calc, use the single quote (') for three-number-dates to circumvent automatic conversion.",,,,,,,,,,,,,
"//",,,,,,,,,,,,,,
"//",,,,,,,,,,,,,,
"//!","gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.",,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,
"//!","Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,
"//!","# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,
"//!","SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"#","Nodes",,,,,,,,,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]"
"N","Berkeley Ingres","#f00",,"1973",,,,"Ingres Database (proprietary)","1982",,"Actian Ingres",2011.09,,
"N","NonStop SQL","#00f",,"1987",,,,,,,,,,
"N","Sybase SQL Server","#0f0",,"1987",,,,"Adaptive Server Enterprise",1996,,,,,
"N","Microsoft SQL Server","#01faf4","Sybase SQL Server","1989",,,,,,,,,,
"N","Postgres","#f1a000",,"1989",,,,"PostgreSQL",1995,,,,,
"N","Netezza","#0ff","Postgres","2000",,,,,,,,,,
"N","Greenplum","#aaf","Postgres","2003",,,,,,,,,,
"N","Illustra","#afa","Postgres","1993","1995",,,,,,,,,
"N","Informix","#bb0",,"1981",,,,,,,,,,
"N","IBM System R","#1f70c1",,"1977","1981",,,,,,,,,
"N","IBM DB2","#1f70c1",,"1983",,,,,,,,,,
"N","IBM SQL/DS","#1f70c1",,"1980",,,,"DB2 for VM and VSE",1995,,,,,
"N","MySQL","#e48e00",,"1995.05",,,,"Sun MySQL",2008.02,,"Oracle MySQL",2010.01,,
"N","Drizzle","#01faf4","MySQL","2008",,,,,,,,,,
"N","MariaDB","#aaf","MySQL","2009",,,,,,,,,,
"N","MySQL 6.0 (Falcon)","#bb0","MySQL","2006","2009",,,,,,,,,
"N","Netfrastructure","#bb0",,"2001","2006",,,,,,,,,
"N","InnoDB","#e48e00",,"1999","2000",,,,,,,,,
"N","NDB Cluster","#0f0",,"2000","2003",,,,,,,,,
"N","MySQL Cluster","#0f0","MySQL","2006",,,,,,,,,,
"N","Oracle Database","#f00",,"1979",,,,,,,,,,
"N","Vertica Analytic Database","#00f",,"2005",,,,,,,,,,
"N","Rdb/VMS","#f00",,"1984",,,,"Oracle Rdb",1994,,,,,
"N","InterBase","#0f0",,"1984",,,,,,,,,,
"N","Firebird","#01faf4","InterBase","2000",,,,,,,,,,
,,,,,,,,,,,,,,
"#","Connectors",,,,,,,,,,,,,
"#","Leaving 'To When' empty will result in using 'From When' as this value",,,,,,,,,,,,,
"#","From When","From","To When","To","Thickness","Color",,,,,,,,
"C",1979,"IBM System R",1983,"IBM DB2",3,"#1f70c1",,,,,,,,
"C",1979,"IBM System R",1980,"IBM SQL/DS",3,"#1f70c1",,,,,,,,
"C","1995","Illustra","1997","Informix",3,"#bb0",,,,,,,,
"C","2000","InnoDB","2001","MySQL",3,"#e48e00",,,,,,,,
"C","2003","NDB Cluster",,"MySQL",3,"#e48e00",,,,,,,,
"C","2003","NDB Cluster","2006","MySQL Cluster",3,"#0f0",,,,,,,,
"C","2006","Netfrastructure","2009","MySQL 6.0 (Falcon)",3,"#bb0",,,,,,,,
"C","1982","Berkeley Ingres","1987","NonStop SQL",4,"#f00",,,,,,,,
"C","1982","Berkeley Ingres","1987","Sybase SQL Server",4,"#f00",,,,,,,,
"C","1982","Berkeley Ingres","1989","Postgres",4,"#f00",,,,,,,,
"C","2001","Informix","2001","IBM DB2",2,"#f0f",,,,,,,,
,,,,,,,,,,,,,,
"#","Domains",,,,,,,,,,,,,
"#","Node","Color","Intensity",,,,,,,,,,,
"//D","Parent","#faa",30,,,,,,,,,,,
,,,,,,,,,,,,,,
"#","Path","x Position","y Position",,,,,,,,,,,
"//SVG","images/foo.svg",40,160,,,,,,,,,,,
"//PNG","images/foo.png",40,200,,,,,,,,,,,
